GENE	CGC	GENE_LEN	GENE_NUM_MUTS	MUTS_IN_CLUST	NUM_CLUSTERS	CLUST_COORDS	GENE_SCORE	ZSCORE	PVALUE	QVALUE
UBL4A		158.0	12	3	1	[89,94]:3	0.18139876433530802	0.6256391393769474	0.2657758303521316	0.5308281704579374
NR1D2		580.0	36	8	3	[194,194]:2,[331,331]:2,[436,444]:4	0.18139857596088582	0.6256376665759665	0.26577631347502406	0.5308281704579374
DNASE2		361.0	24	5	2	[309,312]:3,[321,321]:2	0.18139848177367474	0.6256369301754763	0.2657765550366372	0.5308281704579374
EDA2R		319.0	24	5	2	[42,45]:3,[69,69]:2	0.18139848177367474	0.6256369301754763	0.2657765550366372	0.5308281704579374
GGH		319.0	24	5	2	[133,133]:2,[175,178]:3	0.18139848177367474	0.6256369301754763	0.2657765550366372	0.5308281704579374
RAB11FIP3		757.0	24	5	2	[83,83]:2,[400,403]:3	0.18139848177367474	0.6256369301754763	0.2657765550366372	0.5308281704579374
SERGEF		459.0	24	5	2	[167,170]:3,[232,232]:2	0.18139848177367474	0.6256369301754763	0.2657765550366372	0.5308281704579374
NINL		1383.0	110	25	7	[453,458]:4,[549,549]:3,[754,757]:4,[808,808]:2,[903,908]:4,[915,915]:2,[1002,1008]:6	0.1813954122673104	0.6256129313123009	0.26578442744986175	0.5308281704579374
SVEP1		3572.0	302	74	24	[384,385]:3,[523,523]:2,[758,758]:2,[772,772]:2,[851,851]:2,[867,867]:2,[961,961]:2,[992,997]:4,[1187,1188]:3,[1429,1434]:3,[1447,1447]:2,[1457,1457]:2,[1463,1474]:7,[1529,1529]:2,[1765,1773]:6,[2044,2051]:4,[2388,2388]:2,[2565,2569]:3,[2729,2729]:2,[2800,2809]:5,[2818,2818]:2,[3346,3360]:7,[3418,3422]:3,[3473,3473]:2	0.18132807926239236	0.6250864898000786	0.26595714723928465	0.5308281704579374
ADAM10		749.0	53	14	4	[98,113]:6,[121,121]:2,[210,213]:3,[370,372]:3	0.18128387513661007	0.6247408808843379	0.266070568713592	0.5308281704579374
CD207		329.0	37	7	2	[27,28]:3,[172,172]:4	0.1812733395253548	0.6246585084560144	0.2660976052022538	0.5308281704579374
SLC23A2		651.0	37	7	3	[116,117]:3,[403,403]:2,[563,563]:2	0.1812733395253548	0.6246585084560144	0.2660976052022538	0.5308281704579374
RHBDL3		405.0	25	6	2	[52,52]:2,[274,282]:4	0.18121394938367563	0.6241941680328486	0.26625003822267373	0.5308281704579374
FBXO11	Rec	928.0	50	10	4	[182,185]:3,[448,448]:2,[864,864]:2,[893,894]:3	0.18121354250012645	0.6241909868234077	0.26625108269805486	0.5308281704579374
MAP9		648.0	53	11	4	[35,35]:3,[316,316]:2,[485,485]:2,[630,637]:4	0.18119949344988878	0.624081144655196	0.26628714806545983	0.5308281704579374
CELF2		540.0	42	23	2	[1,19]:11,[64,94]:12	0.1811843040430105	0.6239623866354627	0.26632614362804025	0.5308281704579374
PIGO		1090.0	63	12	5	[119,119]:2,[270,270]:2,[418,419]:3,[685,685]:2,[770,771]:3	0.1811782083313691	0.6239147274576423	0.26634179388014584	0.5308281704579374
TMPRSS11E		848.0	57	21	3	[87,98]:7,[186,190]:3,[250,261]:11	0.18117474471813144	0.6238876472791651	0.26635068663745315	0.5308281704579374
SHC4		631.0	38	9	3	[82,82]:2,[365,365]:2,[383,391]:5	0.18115558676737065	0.6237378612926067	0.26639987700432555	0.5308281704579374
CEP126		1118.0	92	18	7	[35,35]:2,[68,68]:3,[120,120]:2,[129,134]:4,[438,438]:2,[472,473]:3,[1068,1068]:2	0.18113300777339308	0.6235613279602762	0.266457857215625	0.5308281704579374
PADI4		664.0	51	12	3	[292,294]:4,[378,381]:4,[422,427]:4	0.18112708779211562	0.6235150427261651	0.26647306009017324	0.5308281704579374
DENND4B		1497.0	89	21	7	[133,134]:3,[316,325]:5,[710,719]:4,[968,968]:2,[1101,1101]:2,[1110,1110]:2,[1470,1474]:3	0.1811244241272869	0.6234942169254721	0.26647990068773764	0.5308281704579374
ARL5B		180.0	20	8	1	[69,78]:8	0.18109459136841016	0.6232609702032154	0.26655652071081537	0.5308281704579374
SCG2		618.0	61	14	4	[129,129]:2,[280,284]:3,[399,399]:4,[454,463]:5	0.18105289769115185	0.6229349891700996	0.26666362201096755	0.5308281704579374
C12orf56		623.0	26	7	2	[232,232]:2,[261,269]:5	0.18104361179290718	0.6228623875934995	0.2666874782723948	0.5308281704579374
CSRP3		195.0	13	3	1	[8,11]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
ETV2		343.0	13	3	1	[138,141]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
FN3KRP		310.0	13	3	1	[239,242]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
LTB		1960.0	13	3	1	[15,18]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
NDUFAF2		170.0	13	3	1	[65,68]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
SLC2A4RG		388.0	13	3	1	[384,387]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
SNX5		405.0	13	3	1	[98,101]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
TOB2		345.0	13	3	1	[218,221]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
ZDHHC2		368.0	13	3	1	[155,158]:3	0.18104335096678414	0.6228603483306031	0.26668814837243915	0.5308281704579374
FOSB		339.0	26	5	2	[176,177]:3,[301,301]:2	0.18104282932454338	0.6228562698830364	0.26668948854937624	0.5308281704579374
GYG2		502.0	26	5	2	[137,138]:3,[404,404]:2	0.18104282932454338	0.6228562698830364	0.26668948854937624	0.5308281704579374
HDGFL2		696.0	26	5	2	[95,95]:2,[527,528]:3	0.18104282932454338	0.6228562698830364	0.26668948854937624	0.5308281704579374
PTPRU		1447.0	106	22	9	[109,109]:2,[290,290]:2,[328,333]:3,[457,457]:2,[605,610]:3,[645,645]:2,[1091,1097]:4,[1271,1271]:2,[1288,1288]:2	0.18099708584208898	0.6224986255434304	0.26680702363492026	0.5308281704579374
OR52N5		325.0	38	9	2	[138,146]:7,[174,174]:2	0.18092174666409905	0.6219095879557142	0.2670006600943242	0.5308281704579374
SV2C		728.0	78	20	5	[115,122]:6,[146,157]:5,[248,248]:2,[394,394]:3,[404,409]:4	0.18090602793852972	0.6217866914702685	0.267041069247832	0.5308281704579374
MUC4	NA	5413.0	334	85	23	[28,33]:4,[36,41]:4,[48,48]:2,[55,56]:4,[93,110]:8,[203,203]:3,[343,354]:6,[458,458]:2,[541,541]:2,[664,669]:3,[783,783]:2,[792,804]:8,[819,820]:3,[849,866]:11,[877,877]:2,[999,1000]:3,[1024,1024]:2,[1912,1912]:2,[2097,2101]:3,[2208,2209]:3,[2272,2273]:3,[2445,2445]:2,[2546,2551]:3	0.18090293991289266	0.6217625478145957	0.2670490081997674	0.5308281704579374
JRK		569.0	27	6	2	[15,15]:2,[78,83]:4	0.18088513831340086	0.6216233664284709	0.26709477634903805	0.5308281704579374
MGAT1		446.0	27	6	2	[186,192]:4,[322,322]:2	0.18088513831340086	0.6216233664284709	0.26709477634903805	0.5308281704579374
NME7		377.0	27	6	2	[54,59]:4,[360,360]:2	0.18088513831340086	0.6216233664284709	0.26709477634903805	0.5308281704579374
SOX30		754.0	47	9	4	[188,190]:3,[208,208]:2,[339,339]:2,[443,443]:2	0.18085126787625405	0.6213585512138092	0.2671818686283824	0.5308281704579374
PDP1		563.0	41	9	3	[10,13]:4,[184,184]:2,[366,367]:3	0.18083513872132967	0.6212324457961229	0.26722334714509477	0.5308281704579374
ALPPL2		533.0	41	8	3	[67,68]:3,[159,159]:2,[192,193]:3	0.18083480792381113	0.6212298594635196	0.267224197874038	0.5308281704579374
ZMIZ1		1068.0	75	17	5	[33,33]:2,[287,291]:6,[297,301]:5,[529,529]:2,[1013,1013]:2	0.180809539812347	0.6210323013294905	0.2672891852117717	0.5308281704579374
DAB2		771.0	73	22	6	[13,22]:5,[107,107]:2,[242,248]:4,[292,292]:2,[442,442]:2,[590,608]:7	0.18080095774606697	0.62096520264652	0.2673112593378647	0.5308281704579374
MAPK10		479.0	48	10	4	[81,83]:3,[135,135]:2,[226,231]:3,[442,442]:2	0.1807665575459924	0.6206962454928917	0.2673997500994494	0.5308281704579374
KLHL34		645.0	52	13	4	[190,190]:2,[232,241]:6,[264,264]:2,[274,276]:3	0.1807267369563165	0.6203849091508988	0.2675022026708617	0.5308281704579374
CLCN5		817.0	63	14	4	[345,355]:4,[554,554]:5,[621,621]:2,[668,673]:3	0.18071148160468	0.6202656355436275	0.2675414577099102	0.5308281704579374
KIAA0355		1071.0	63	14	4	[121,121]:2,[140,145]:4,[715,716]:5,[739,743]:3	0.18069710976212133	0.6201532696312607	0.26757844196206626	0.5308281704579374
MYL9		173.0	18	13	1	[60,93]:13	0.18068852331807403	0.6200861367208199	0.2676005393992188	0.5308281704579374
GARNL3		1014.0	49	10	4	[247,250]:3,[434,434]:2,[480,480]:2,[651,653]:3	0.18068516638269658	0.6200598906006789	0.26760917880987667	0.5308281704579374
CPA6		438.0	44	10	3	[156,157]:3,[215,223]:4,[363,364]:3	0.1805585422606397	0.6190698828863257	0.2679351613599543	0.5308281704579374
CCM2L		434.0	18	4	1	[36,40]:4	0.18055608834866174	0.6190506970333536	0.26794148071294843	0.5308281704579374
ZBTB9		948.0	36	7	3	[71,71]:2,[259,259]:2,[360,362]:3	0.18055582194955389	0.6190486141982066	0.2679421667526669	0.5308281704579374
DMP1		514.0	36	7	3	[27,29]:3,[317,317]:2,[496,496]:2	0.18055582194955386	0.6190486141982063	0.267942166752667	0.5308281704579374
STRN	Dom	781.0	36	7	3	[369,369]:2,[402,404]:3,[754,754]:2	0.18055582194955386	0.6190486141982063	0.267942166752667	0.5308281704579374
TLK1		767.0	36	7	3	[7,9]:3,[90,90]:2,[214,214]:2	0.18055582194955386	0.6190486141982063	0.267942166752667	0.5308281704579374
ZNF131		624.0	36	7	3	[195,197]:3,[218,218]:2,[307,307]:2	0.18055582194955386	0.6190486141982063	0.267942166752667	0.5308281704579374
AKAP4		855.0	80	19	6	[176,176]:3,[202,209]:4,[343,344]:3,[510,510]:2,[698,707]:4,[745,749]:3	0.18054107208250125	0.6189332927102421	0.26798015247427	0.5308281704579374
BAG6		7931.0	51	11	4	[625,629]:3,[675,675]:2,[682,682]:2,[1077,1082]:4	0.1805320145684304	0.6188624767499232	0.2680034798728471	0.5308281704579374
EIF2AK3		1117.0	73	17	6	[197,197]:2,[285,285]:2,[363,367]:3,[385,390]:4,[474,478]:3,[478,482]:3	0.1805044319606485	0.6186468227809756	0.26807452447895413	0.5308281704579374
RAB3GAP1		989.0	73	14	6	[5,5]:2,[60,60]:3,[489,489]:2,[694,694]:2,[767,772]:3,[799,799]:2	0.18050390646607803	0.6186427142140599	0.26807587808892686	0.5308281704579374
HAPLN2		341.0	15	4	1	[189,192]:4	0.18047514167575918	0.6184178173788059	0.2681499779314952	0.5308281704579374
B4GALT6		383.0	15	3	1	[75,76]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
C2orf68		167.0	15	3	1	[113,114]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
EDN1		213.0	15	3	1	[115,116]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
ERP27		274.0	15	3	1	[32,33]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
FAM131A		367.0	15	3	1	[258,259]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
GLTP		210.0	15	3	1	[18,19]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
IFNL2		201.0	15	3	1	[188,189]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
IFT43		214.0	15	3	1	[8,9]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
IGFBP5		273.0	15	3	1	[180,181]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
KCTD11		233.0	15	3	1	[167,168]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
NDUFAF6		334.0	15	3	1	[65,66]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
NEUROG2		273.0	15	3	1	[209,210]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
RPE		247.0	15	3	1	[53,54]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
RRAGC		400.0	15	3	1	[205,206]:3	0.18047423749587516	0.61841074806969	0.26815230732074535	0.5308281704579374
PSD2		772.0	64	15	5	[224,224]:2,[230,230]:2,[302,307]:4,[315,324]:5,[348,348]:2	0.18046838566462278	0.6183649956649441	0.2681673833202086	0.5308281704579374
CEP76		660.0	34	8	2	[148,152]:5,[223,228]:3	0.18040906837463927	0.6179012248310439	0.2683202257817856	0.5310544597849124
EBF3		552.0	70	20	5	[13,18]:3,[265,265]:2,[404,417]:6,[450,458]:6,[497,498]:3	0.18035060837291533	0.6174441566851989	0.2684709021350039	0.5311582144499173
FRMD6		623.0	50	12	3	[15,22]:6,[226,230]:4,[262,262]:2	0.18030397267795426	0.6170795366031347	0.2685911327043137	0.5311582144499173
PPHLN1		459.0	31	9	2	[45,56]:6,[311,313]:3	0.18027202072044735	0.6168297209763277	0.2686735230372419	0.5311582144499173
KCNT1		1236.0	110	27	8	[43,44]:4,[57,63]:4,[189,189]:2,[236,237]:3,[309,322]:6,[735,735]:2,[760,765]:4,[823,823]:2	0.1802621061492472	0.6167522041350403	0.2686990910262732	0.5311582144499173
ETV4	Dom	485.0	16	5	1	[30,35]:5	0.18024451857250526	0.6166146960807417	0.2687444493960721	0.5311582144499173
ARHGEF7		804.0	51	12	4	[23,23]:2,[61,68]:4,[97,99]:3,[302,305]:3	0.18023484361651393	0.6165390526653177	0.2687694027525691	0.5311582144499173
ZNF157		507.0	50	14	4	[19,35]:6,[89,89]:2,[284,284]:2,[476,481]:4	0.18017857338198284	0.6160991051626673	0.2689145563197385	0.5311582144499173
KCNJ15		376.0	40	9	3	[114,117]:3,[133,133]:2,[242,245]:4	0.1801784178830082	0.6160978893975985	0.26891495749629923	0.5311582144499173
GZF1		712.0	40	8	3	[10,10]:2,[151,152]:3,[562,564]:3	0.1801780788155517	0.61609523840668	0.268915832267843	0.5311582144499173
OR10H5		316.0	40	8	3	[41,41]:2,[79,80]:3,[181,183]:3	0.1801780788155517	0.61609523840668	0.268915832267843	0.5311582144499173
SPTBN4		2565.0	187	53	12	[58,60]:3,[111,115]:5,[246,255]:6,[265,272]:5,[329,329]:2,[340,340]:2,[466,466]:2,[504,511]:7,[519,541]:11,[936,940]:5,[2006,2006]:3,[2112,2112]:2	0.18017133339232744	0.6160424994741598	0.26893323530919655	0.5311582144499173
COPG1		875.0	54	12	4	[125,125]:2,[351,351]:2,[624,625]:4,[774,782]:4	0.1801248427848536	0.6156790137551955	0.2690531954150432	0.5311582144499173
DDC		481.0	56	22	3	[69,79]:5,[79,96]:11,[391,402]:6	0.18008611141976777	0.6153761934899922	0.2691531547841379	0.5311582144499173
FCRL2		509.0	68	18	5	[9,22]:6,[108,109]:3,[167,167]:2,[299,310]:5,[480,480]:2	0.18008416419661075	0.6153609691716262	0.2691581807430461	0.5311582144499173
M1AP		531.0	35	8	3	[200,206]:4,[403,403]:2,[508,508]:2	0.18005121042284597	0.6151033208680152	0.2692432445512495	0.5311582144499173
ITGA2B		1040.0	56	15	4	[425,436]:6,[472,472]:3,[728,728]:2,[962,967]:4	0.18003852627047517	0.6150041501216114	0.26927598983661605	0.5311582144499173
MAPK8IP3		1338.0	89	20	7	[309,313]:4,[352,361]:5,[683,686]:3,[853,853]:2,[887,887]:2,[911,911]:2,[1051,1051]:2	0.1800313249923644	0.6149478470984033	0.2692945814755351	0.5311582144499173
C11orf24		450.0	30	9	2	[203,213]:5,[408,415]:4	0.18003092824292952	0.6149447451222962	0.2692956057877275	0.5311582144499173
ANKRD27		1051.0	67	13	5	[395,395]:2,[577,580]:4,[699,699]:2,[775,775]:3,[823,823]:2	0.18001010634337794	0.6147819495913287	0.2693493656965541	0.5311582144499173
SPATA19		168.0	25	6	2	[93,93]:2,[115,119]:4	0.18000076722207292	0.6147089318914856	0.2693734800529344	0.5311582144499173
AGBL3		921.0	25	5	2	[88,90]:3,[322,322]:2	0.1800003836073576	0.6147059326088739	0.2693744705998819	0.5311582144499173
MECR		409.0	25	5	2	[31,33]:3,[92,92]:2	0.1800003836073576	0.6147059326088739	0.2693744705998819	0.5311582144499173
NFE2L1		773.0	25	5	2	[345,347]:3,[558,558]:2	0.1800003836073576	0.6147059326088739	0.2693744705998819	0.5311582144499173
SHB		510.0	25	5	2	[256,258]:3,[272,272]:2	0.1800003836073576	0.6147059326088739	0.2693744705998819	0.5311582144499173
TFB2M		397.0	25	5	2	[122,124]:3,[285,285]:2	0.1800003836073576	0.6147059326088739	0.2693744705998819	0.5311582144499173
TPRG1		276.0	25	5	2	[137,139]:3,[145,145]:2	0.1800003836073576	0.6147059326088739	0.2693744705998819	0.5311582144499173
OR5A1		316.0	49	13	3	[17,24]:5,[32,40]:5,[299,303]:3	0.17990100723458205	0.6139289607801726	0.2696311358178004	0.5315882733478802
SUCLG2		441.0	26	6	2	[129,134]:4,[206,206]:2	0.17987672162337065	0.6137390843012165	0.2696938783217706	0.5316359377471196
ADAM30		791.0	64	16	5	[33,36]:4,[92,103]:5,[263,263]:2,[433,437]:3,[540,540]:2	0.17982716672637217	0.613351640506815	0.26982192735960053	0.5317624075372844
CRISP1		250.0	38	13	3	[13,13]:2,[91,95]:3,[178,198]:8	0.1798220362656593	0.6133115281206328	0.2698351861242876	0.5317624075372844
SMARCC2		1246.0	80	17	6	[320,321]:3,[588,588]:2,[768,768]:2,[829,829]:2,[850,855]:4,[1004,1008]:4	0.17979897393767055	0.6131312158527259	0.2698947906442773	0.5318038434864726
MPP4		638.0	27	6	2	[99,99]:2,[285,290]:4	0.1797619686204494	0.6128418906520776	0.2699904445496257	0.5319162895693282
CCDC14		913.0	47	13	3	[149,149]:2,[212,217]:3,[449,460]:8	0.17971135029900323	0.6124461324986918	0.27012131375879445	0.5319439077815982
TIFAB		162.0	19	4	1	[115,116]:4	0.17969616446717132	0.6123274024303744	0.27016058157561723	0.5319439077815982
BECN1		451.0	24	6	2	[114,114]:2,[130,138]:4	0.1796880993960767	0.6122643458620777	0.27018143755276525	0.5319439077815982
MBOAT2		521.0	24	6	2	[88,96]:4,[320,320]:2	0.17968809939607666	0.6122643458620775	0.27018143755276536	0.5319439077815982
GLIPR1		267.0	37	9	3	[120,129]:4,[161,161]:2,[173,176]:3	0.17966949030455692	0.6121188511185611	0.270229563051147	0.5319439077815982
FAM184A		1141.0	88	18	6	[179,183]:4,[221,221]:2,[288,291]:3,[603,603]:4,[608,610]:3,[643,643]:2	0.17966700347120654	0.6120994078706143	0.2702359946459581	0.5319439077815982
HIRA		1018.0	58	13	4	[118,119]:3,[173,173]:2,[485,486]:4,[572,581]:4	0.17957841837956545	0.611406807419162	0.2704651485403421	0.5322053306491914
KCNIP1		242.0	29	7	2	[4,4]:2,[93,98]:5	0.17955630148241208	0.6112338869799621	0.2705223761679698	0.5322053306491914
BLNK		457.0	29	6	2	[181,184]:4,[279,279]:2	0.1795559707800713	0.6112313013915037	0.27052323190851535	0.5322053306491914
STK4		488.0	29	6	2	[60,62]:4,[117,117]:2	0.1795559707800713	0.6112313013915037	0.27052323190851535	0.5322053306491914
COL10A1		681.0	39	8	3	[255,257]:3,[509,509]:2,[677,679]:3	0.17948767129148407	0.6106973034494896	0.2706999957751326	0.5324211514671425
PTPRG		1446.0	90	20	6	[94,98]:5,[198,198]:2,[747,747]:2,[1012,1016]:4,[1046,1054]:5,[1257,1257]:2	0.17948373636313003	0.6106665383048816	0.2707101814024811	0.5324211514671425
COL28A1		1126.0	101	25	7	[200,200]:2,[390,395]:4,[404,408]:5,[435,440]:3,[495,501]:4,[545,554]:4,[909,910]:3	0.17943275380670753	0.6102679323889169	0.2708421678951986	0.5326047481362786
KCNJ14		437.0	26	6	1	[264,269]:6	0.17939371981354488	0.6099627460332264	0.2709432429838967	0.5326693814194354
TBCCD1		558.0	36	9	3	[51,61]:4,[304,308]:3,[331,331]:2	0.1793902155374182	0.6099353479329098	0.2709523179189758	0.5326693814194354
METTL3		581.0	41	8	3	[225,225]:2,[330,330]:2,[529,532]:4	0.17935520884312667	0.6096616489185382	0.2710429821918726	0.5327716397426158
CTAGE1		746.0	83	23	6	[214,214]:2,[487,492]:4,[531,531]:2,[544,554]:6,[650,662]:6,[697,701]:3	0.1793138652423937	0.6093384049504863	0.2711500779831768	0.5329061626743787
RCBTB2		557.0	35	11	2	[43,57]:5,[84,94]:6	0.17922270587736167	0.6086256776031905	0.2713862902497362	0.5332584785613682
PRPS1L1		319.0	41	11	3	[58,62]:3,[214,221]:6,[317,317]:2	0.17920267802262962	0.6084690902929326	0.2714382001876776	0.5332584785613682
NUGGC		797.0	54	11	4	[81,81]:3,[511,513]:3,[722,727]:3,[793,793]:2	0.1791999030038451	0.6084473938739603	0.2714453931131753	0.5332584785613682
ETV6	Dom	453.0	45	11	3	[106,110]:4,[284,284]:2,[346,351]:5	0.17912679768315742	0.60787582164692	0.2716349183221211	0.533482166754278
SRRM4		612.0	87	24	6	[37,41]:3,[179,191]:7,[207,212]:5,[218,223]:4,[305,310]:3,[515,515]:2	0.17912584515353433	0.6078683743165086	0.27163738818555005	0.533482166754278
RIT2		218.0	49	20	3	[11,34]:10,[119,131]:5,[192,198]:5	0.1791112022089908	0.6077538887996619	0.2716753580424397	0.533482166754278
STRC		1776.0	46	11	3	[1519,1524]:5,[1538,1543]:4,[1706,1706]:2	0.1790756842912586	0.6074761927968669	0.27176746868086615	0.5335870325830708
TRPM3		1708.0	169	40	11	[75,79]:5,[421,429]:5,[439,440]:3,[527,527]:2,[568,583]:8,[734,734]:2,[808,820]:6,[1045,1046]:3,[1089,1089]:2,[1335,1335]:2,[1479,1479]:2	0.1790513042239562	0.6072855778151892	0.27183070389216235	0.5336351827333321
RXRG		464.0	57	27	4	[1,19]:7,[67,96]:14,[100,103]:3,[194,198]:3	0.17898961786312553	0.6068032844566985	0.2719907340920106	0.5337982208879234
TRIM14		443.0	15	6	1	[196,208]:6	0.17898943797533787	0.6068018780082698	0.2719912008354569	0.5337982208879234
USH1C		900.0	87	22	5	[192,200]:5,[209,209]:2,[216,220]:3,[335,344]:5,[406,411]:7	0.17896127590266256	0.6065816935067085	0.2720642760935157	0.5338656293165999
ATXN3		362.0	20	11	1	[39,60]:11	0.17892784319917263	0.6063203007023277	0.27215104031420334	0.533959876278294
DLEC1		1779.0	93	21	7	[363,368]:3,[626,629]:4,[684,684]:2,[744,753]:5,[911,911]:2,[950,950]:2,[1009,1009]:3	0.178859551173109	0.6057863611058785	0.2723283138352818	0.5341797201735898
GRIA4		903.0	117	32	8	[112,113]:3,[150,154]:4,[291,295]:3,[338,345]:5,[433,435]:3,[560,562]:3,[791,798]:4,[843,860]:7	0.1788348360519799	0.6055931265137523	0.272392483872192	0.5341797201735898
SSH1		1050.0	65	13	4	[211,211]:3,[287,289]:4,[410,412]:4,[934,934]:2	0.178790004269205	0.6052426102766059	0.2725089037272599	0.5341797201735898
DLK1		384.0	41	10	2	[153,153]:2,[247,257]:8	0.17878792860630044	0.6052263817551004	0.27251429443859954	0.5341797201735898
PGGHG		738.0	30	8	2	[322,328]:4,[594,600]:4	0.17874898299353104	0.6049218863994319	0.2726154500406016	0.5341797201735898
ACTA1		378.0	43	10	3	[24,30]:4,[39,40]:3,[211,214]:3	0.17873706762712033	0.6048287263879402	0.27264640220617653	0.5341797201735898
PLEC		4685.0	344	75	26	[1,6]:3,[6,16]:7,[99,104]:3,[509,509]:2,[1656,1658]:3,[2114,2116]:3,[2200,2200]:2,[2234,2244]:5,[2368,2369]:4,[2443,2444]:3,[2468,2473]:3,[2493,2493]:2,[2518,2518]:2,[2623,2623]:2,[2681,2681]:2,[2694,2694]:2,[2819,2823]:3,[2929,2929]:2,[3061,3061]:2,[3261,3261]:2,[3520,3520]:2,[3598,3606]:5,[3610,3610]:2,[3650,3653]:3,[4314,4314]:3,[4321,4325]:3	0.1786593472842855	0.6042210717189974	0.27284833663241903	0.5341797201735898
KIF14		1649.0	100	29	7	[161,183]:8,[301,301]:2,[329,330]:4,[414,414]:2,[609,609]:2,[699,703]:4,[995,1009]:7	0.17865387544230715	0.6041782902514359	0.2728625564677955	0.5341797201735898
CCNJ		384.0	14	3	1	[39,41]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
CHST14		377.0	14	3	1	[316,318]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
COPE		332.0	14	3	1	[12,14]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
PRH2		167.0	14	3	1	[50,52]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
SCGB1C2		96.0	14	3	1	[21,23]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
TCP10L2		354.0	28	6	2	[25,27]:3,[199,201]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
TPPP		220.0	14	3	1	[62,64]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
ZFAND6		209.0	14	3	1	[68,70]:3	0.17857211358456712	0.6035390370934466	0.2730750771618562	0.5341797201735898
ZNF514		474.0	35	7	3	[7,7]:2,[163,163]:2,[216,220]:3	0.17857170257931176	0.6035358236585431	0.27307614568043165	0.5341797201735898
HSH2D		353.0	28	5	2	[137,137]:3,[174,174]:2	0.17857142857142855	0.6035336813343652	0.2730768580386861	0.5341797201735898
SLC46A3		464.0	28	5	2	[314,314]:2,[377,377]:3	0.17857142857142855	0.6035336813343652	0.2730768580386861	0.5341797201735898
STIM1		792.0	28	5	2	[299,299]:2,[446,446]:3	0.17857142857142855	0.6035336813343652	0.2730768580386861	0.5341797201735898
ZC3HC1		503.0	28	5	2	[185,185]:3,[420,420]:2	0.17857142857142855	0.6035336813343652	0.2730768580386861	0.5341797201735898
CCDC120		697.0	36	11	3	[110,125]:7,[165,165]:2,[313,313]:2	0.17852679749223643	0.6031847342934512	0.27319290099808546	0.534330893907294
PCDHGC3		935.0	52	13	4	[82,82]:2,[163,163]:2,[173,187]:6,[597,598]:3	0.17851122554734422	0.6030629854092706	0.27323339455481355	0.5343342805983976
FIGN		760.0	79	18	6	[204,206]:3,[233,239]:4,[259,259]:3,[430,430]:2,[494,494]:2,[541,550]:4	0.17843050042637926	0.6024318379533261	0.2734433612148639	0.5345597883307451
FMNL3		1028.0	61	12	5	[504,509]:3,[578,578]:2,[605,606]:3,[729,729]:2,[853,853]:2	0.17842456941740698	0.6023854664994429	0.27345879096428427	0.5345597883307451
ASPM		3478.0	270	68	17	[53,59]:6,[490,490]:2,[877,877]:2,[1166,1173]:6,[1204,1204]:2,[1405,1416]:5,[1456,1460]:5,[1501,1503]:3,[1552,1556]:4,[1576,1583]:5,[1608,1617]:4,[1633,1635]:3,[2030,2034]:6,[2360,2361]:3,[2488,2488]:2,[2529,2536]:6,[2787,2793]:4	0.17836213926014025	0.6018973577860449	0.27362123157699936	0.5345597883307451
IL18R1		542.0	48	14	3	[48,56]:6,[88,92]:4,[111,117]:4	0.17834848047252372	0.6017905668769399	0.2736567775257712	0.5345597883307451
